Individual_ID,Age,Education_Years,Work_Experience,City_Category,Remote_Work_Days,Household_Size,Savings_Rate,Annual_Income
ID-00001,56,14,36,Rural,0,4,0.177,92185.84
ID-00002,46,14,26,Suburban,3,4,0.1482,103277.12
ID-00003,32,20,6,Rural,1,3,0.287,68057.93
ID-00004,60,14,40,Urban,0,4,0.23,145356.96
ID-00005,25,14,5,Suburban,2,1,0.1495,61274.29
ID-00006,38,12,20,Urban,4,1,0.2806,93270.44
ID-00007,56,16,34,Urban,5,3,0.2714,149202.75
ID-00008,36,14,16,Urban,2,5,0.1553,110627.63
ID-00009,40,16,18,Suburban,5,3,0.1497,94330.86
ID-00010,28,16,6,Urban,0,5,0.1829,98566.18
ID-00011,28,18,4,Rural,5,5,0.1699,56331.14
ID-00012,41,18,17,Urban,5,2,0.1554,112825.72
ID-00013,53,16,31,Urban,5,4,0.202,137091.48
ID-00014,57,14,37,Urban,5,5,0.2944,134108.81
ID-00015,41,18,17,Suburban,2,2,0.2433,99002.82
ID-00016,20,14,0,Urban,4,3,0.1894,67223.01
ID-00017,39,16,17,Rural,1,3,0.172,68801.0
ID-00018,19,16,0,Suburban,2,5,0.1626,82006.14
ID-00019,41,18,17,Rural,3,2,0.2252,87765.62
ID-00020,61,16,39,Urban,4,1,0.2412,142132.32
ID-00021,47,14,27,Urban,4,4,0.2003,115149.34
ID-00022,55,16,33,Suburban,3,5,0.2593,111288.96
ID-00023,19,16,0,Rural,0,1,0.1108,55928.11
ID-00024,38,12,20,Urban,3,4,0.2372,110233.5
ID-00025,50,16,28,Rural,0,1,0.231,81785.95
ID-00026,29,18,5,Urban,1,2,0.1077,98435.76
ID-00027,39,20,13,Suburban,0,5,0.1562,103943.66
ID-00028,61,16,39,Urban,1,1,0.2859,153768.37
ID-00029,42,14,22,Urban,1,1,0.2183,110603.33
ID-00030,44,14,24,Urban,5,1,0.1882,101739.51
ID-00031,59,18,35,Rural,5,5,0.2254,102642.86
ID-00032,45,18,21,Rural,3,2,0.1956,82454.99
ID-00033,33,14,13,Urban,1,2,0.201,91184.28
ID-00034,32,14,12,Rural,0,1,0.2288,67540.35
ID-00035,64,18,40,Suburban,2,2,0.3045,127835.74
ID-00036,61,14,41,Suburban,5,4,0.1622,119667.25
ID-00037,20,14,0,Urban,4,2,0.2282,71522.43
ID-00038,54,12,36,Suburban,4,1,0.1854,100306.93
ID-00039,24,14,4,Urban,0,4,0.1126,80181.74
ID-00040,38,16,16,Urban,5,5,0.2535,111517.82
ID-00041,26,18,2,Suburban,2,3,0.1415,71298.94
ID-00042,56,14,36,Rural,1,2,0.2559,94082.16
ID-00043,35,14,15,Suburban,5,4,0.2389,77330.49
ID-00044,21,14,1,Rural,0,3,0.2682,46015.76
ID-00045,42,16,20,Rural,1,5,0.2538,86531.72
ID-00046,31,12,13,Urban,5,3,0.2462,85909.74
ID-00047,26,16,4,Urban,3,5,0.235,80959.03
ID-00048,43,18,19,Suburban,2,1,0.2043,98736.06
ID-00049,19,12,1,Rural,4,1,0.2368,45296.48
ID-00050,37,12,19,Rural,0,5,0.1739,71993.08
ID-00051,45,12,27,Suburban,4,3,0.1638,87731.1
ID-00052,64,16,42,Suburban,1,2,0.2437,123439.62
ID-00053,24,18,0,Suburban,1,3,0.236,76215.84
ID-00054,61,12,43,Urban,3,3,0.2024,142952.61
ID-00055,25,20,0,Urban,1,2,0.1553,90144.15
ID-00056,64,12,46,Suburban,1,3,0.1422,114309.51
ID-00057,52,18,28,Rural,4,3,0.1609,96614.01
ID-00058,31,16,9,Rural,4,4,0.1462,70408.22
ID-00059,34,16,12,Urban,0,5,0.2453,102088.26
ID-00060,53,16,31,Suburban,0,1,0.1828,108862.53
ID-00061,57,16,35,Rural,1,5,0.2311,106859.56
ID-00062,21,18,0,Suburban,5,3,0.096,76600.89
ID-00063,19,18,0,Urban,2,2,0.234,87833.24
ID-00064,23,16,1,Suburban,0,2,0.1848,75712.67
ID-00065,59,12,41,Suburban,1,1,0.1414,108787.58
ID-00066,21,12,3,Suburban,5,1,0.1451,55588.79
ID-00067,46,18,22,Suburban,5,1,0.1572,99050.44
ID-00068,35,16,13,Rural,4,2,0.1966,70418.14
ID-00069,43,16,21,Urban,5,3,0.1751,117750.61
ID-00070,61,16,39,Urban,3,1,0.1961,144635.67
ID-00071,51,18,27,Suburban,4,1,0.1591,110920.48
ID-00072,27,16,5,Urban,4,2,0.1156,92563.74
ID-00073,53,18,29,Rural,3,3,0.244,93851.33
ID-00074,31,18,7,Urban,4,1,0.2308,97607.75
ID-00075,48,14,28,Urban,0,3,0.1647,125253.58
ID-00076,32,14,12,Rural,4,4,0.2069,68621.17
ID-00077,25,18,1,Urban,3,1,0.1303,82739.32
ID-00078,31,14,11,Rural,1,1,0.2203,62558.96
ID-00079,40,20,14,Suburban,1,2,0.1832,90765.09
ID-00080,57,12,39,Urban,1,4,0.17,132985.62
ID-00081,38,12,20,Rural,3,4,0.1369,76465.15
ID-00082,33,20,7,Urban,3,4,0.2376,105488.08
ID-00083,62,16,40,Suburban,0,5,0.1425,120042.7
ID-00084,35,14,15,Urban,3,2,0.1811,92231.41
ID-00085,64,18,40,Urban,5,2,0.118,155962.67
ID-00086,41,16,19,Rural,1,1,0.1428,73902.62
ID-00087,43,16,21,Suburban,3,2,0.1294,90568.33
ID-00088,42,12,24,Urban,2,1,0.0695,109959.02
ID-00089,62,18,38,Suburban,4,1,0.1852,125936.33
ID-00090,58,18,34,Suburban,0,5,0.1913,120416.96
ID-00091,46,12,28,Rural,1,2,0.1374,74251.74
ID-00092,32,18,8,Urban,5,2,0.1515,109303.23
ID-00093,62,18,38,Rural,5,5,0.2004,100691.93
ID-00094,18,16,0,Suburban,1,5,0.0733,62929.8
ID-00095,42,16,20,Suburban,5,2,0.1936,94950.45
ID-00096,24,14,4,Rural,2,2,0.2042,54873.12
ID-00097,26,14,6,Urban,0,1,0.1907,89943.28
ID-00098,41,18,17,Urban,4,3,0.2067,114200.89
ID-00099,18,18,0,Urban,0,1,0.1603,90768.43
ID-00100,61,16,39,Urban,0,4,0.2284,151952.72
ID-00101,25,16,3,Urban,1,4,0.2284,89248.32
ID-00102,41,12,23,Suburban,3,3,0.3167,88418.3
ID-00103,28,12,10,Urban,4,5,0.1263,87249.86
ID-00104,34,16,12,Urban,0,4,0.1425,108111.59
ID-00105,25,12,7,Urban,2,5,0.1265,85710.16
ID-00106,52,16,30,Urban,1,5,0.2657,124682.37
ID-00107,52,14,32,Urban,3,1,0.2797,116602.46
ID-00108,50,18,26,Suburban,3,5,0.2381,113666.79
ID-00109,22,14,2,Urban,1,3,0.1056,79059.31
ID-00110,59,16,37,Rural,0,1,0.1939,90276.34
ID-00111,56,16,34,Urban,5,3,0.2234,134405.6
ID-00112,58,12,40,Rural,1,5,0.2251,87547.54
ID-00113,45,12,27,Urban,5,4,0.2918,113338.46
ID-00114,24,14,4,Suburban,3,5,0.2271,64542.0
ID-00115,26,18,2,Suburban,3,3,0.2267,77673.49
ID-00116,25,12,7,Rural,2,2,0.1539,56325.44
ID-00117,29,18,5,Suburban,2,2,0.1998,76045.26
ID-00118,51,20,25,Rural,3,4,0.1188,86417.33
ID-00119,50,18,26,Suburban,2,3,0.2042,107193.52
ID-00120,40,14,20,Suburban,2,4,0.1989,86649.89
ID-00121,41,20,15,Rural,2,1,0.1284,79881.65
ID-00122,54,12,36,Suburban,3,5,0.189,98893.24
ID-00123,52,16,30,Suburban,0,1,0.2754,117430.42
ID-00124,61,18,37,Urban,0,2,0.2091,145878.62
ID-00125,57,16,35,Rural,4,5,0.2382,87654.17
ID-00126,39,16,17,Urban,2,1,0.3085,107826.87
ID-00127,44,14,24,Suburban,0,2,0.1713,95185.12
ID-00128,52,14,32,Urban,4,1,0.2445,129976.42
ID-00129,18,16,0,Urban,1,5,0.1587,84310.99
ID-00130,52,14,32,Suburban,2,1,0.2573,102774.9
ID-00131,54,20,28,Suburban,0,5,0.2018,127438.24
ID-00132,64,20,38,Urban,0,1,0.2668,164817.38
ID-00133,31,18,7,Urban,5,4,0.2497,90116.15
ID-00134,20,16,0,Urban,0,1,0.1598,81207.34
ID-00135,18,16,0,Suburban,5,1,0.2207,74175.37
ID-00136,22,20,0,Urban,4,4,0.0861,93603.22
ID-00137,43,18,19,Suburban,5,2,0.1995,98351.01
ID-00138,31,16,9,Suburban,1,5,0.2464,89098.57
ID-00139,56,12,38,Rural,2,3,0.325,89311.28
ID-00140,44,12,26,Urban,0,2,0.1309,105385.83
ID-00141,26,16,4,Urban,3,5,0.1196,90142.96
ID-00142,32,16,10,Suburban,2,1,0.1558,73600.51
ID-00143,32,18,8,Suburban,3,2,0.1902,78455.8
ID-00144,43,14,23,Urban,4,1,0.1606,113544.28
ID-00145,59,12,41,Rural,0,2,0.2536,94840.98
ID-00146,30,14,10,Urban,2,2,0.1659,98449.58
ID-00147,49,14,29,Urban,2,3,0.1634,127498.84
ID-00148,56,12,38,Urban,0,4,0.1539,132970.03
ID-00149,49,16,27,Rural,1,2,0.2018,79409.16
ID-00150,21,16,0,Urban,4,1,0.194,84026.22
ID-00151,47,18,23,Urban,0,3,0.2424,133209.42
ID-00152,54,14,34,Urban,5,2,0.1847,130959.01
ID-00153,40,14,20,Suburban,2,4,0.2137,93866.42
ID-00154,56,16,34,Rural,1,1,0.2848,97291.56
ID-00155,62,18,38,Urban,2,3,0.2735,145741.28
ID-00156,32,12,14,Urban,3,5,0.1611,85850.58
ID-00157,60,18,36,Urban,2,4,0.244,147080.99
ID-00158,46,14,26,Suburban,4,5,0.1869,100820.5
ID-00159,53,18,29,Urban,0,5,0.1811,140753.58
ID-00160,30,18,6,Rural,2,3,0.1335,72041.17
ID-00161,49,14,29,Urban,5,3,0.2877,119916.76
ID-00162,24,16,2,Urban,3,3,0.1388,95833.62
ID-00163,39,12,21,Urban,3,5,0.1811,112248.46
ID-00164,45,18,21,Rural,0,1,0.0997,83255.77
ID-00165,19,16,0,Suburban,3,3,0.224,60608.94
ID-00166,59,16,37,Rural,0,4,0.2073,101685.16
ID-00167,62,18,38,Urban,4,3,0.2714,145873.54
ID-00168,23,18,0,Urban,0,3,0.1907,86567.5
ID-00169,45,14,25,Suburban,1,3,0.2017,95629.99
ID-00170,45,16,23,Suburban,3,5,0.237,99935.26
ID-00171,61,14,41,Suburban,3,1,0.2104,118763.14
ID-00172,61,14,41,Urban,5,3,0.119,141796.93
ID-00173,37,16,15,Urban,2,5,0.2002,104873.93
ID-00174,47,14,27,Urban,1,4,0.2526,120441.45
ID-00175,28,14,8,Suburban,2,1,0.1348,63800.99
ID-00176,45,18,21,Suburban,0,5,0.0897,110009.29
ID-00177,42,12,24,Rural,4,2,0.1561,59659.12
ID-00178,56,16,34,Urban,5,4,0.2224,136346.31
ID-00179,50,14,30,Rural,3,4,0.1411,80129.95
ID-00180,18,12,0,Urban,4,2,0.1622,65847.39
ID-00181,44,12,26,Urban,0,5,0.2145,110915.22
ID-00182,30,16,8,Rural,0,5,0.1361,62470.09
ID-00183,58,18,34,Suburban,1,4,0.2726,126182.13
ID-00184,20,12,2,Suburban,2,5,0.2039,62847.97
ID-00185,56,12,38,Suburban,3,2,0.1557,101368.11
ID-00186,23,20,0,Urban,3,5,0.2078,102063.82
ID-00187,25,12,7,Suburban,4,4,0.1337,77083.61
ID-00188,44,18,20,Rural,1,5,0.1682,82282.37
ID-00189,26,14,6,Urban,5,1,0.1781,72337.64
ID-00190,54,18,30,Suburban,0,2,0.2452,117277.22
ID-00191,50,14,30,Suburban,1,2,0.1978,96491.25
ID-00192,59,18,35,Urban,3,3,0.2297,146066.32
ID-00193,61,18,37,Urban,5,5,0.2827,149154.77
ID-00194,41,16,19,Urban,2,2,0.2041,115781.36
ID-00195,32,12,14,Suburban,4,5,0.1504,67018.4
ID-00196,49,18,25,Rural,0,1,0.2339,79145.68
ID-00197,49,16,27,Suburban,0,4,0.1717,110708.83
ID-00198,41,12,23,Urban,0,4,0.1766,111192.18
ID-00199,58,12,40,Suburban,2,3,0.2362,100664.43
ID-00200,29,18,5,Rural,3,3,0.2083,72244.1
ID-00201,56,14,36,Urban,3,2,0.1969,136618.29
ID-00202,19,16,0,Rural,1,2,0.1534,50882.21
ID-00203,20,16,0,Suburban,5,2,0.2614,65077.83
ID-00204,54,18,30,Urban,1,1,0.0944,128145.66
ID-00205,34,20,8,Urban,3,3,0.2022,113201.07
ID-00206,19,20,0,Suburban,0,3,0.1699,78368.66
ID-00207,19,12,1,Suburban,2,4,0.1479,56220.25
ID-00208,45,18,21,Rural,3,3,0.2094,82010.57
ID-00209,40,14,20,Suburban,2,3,0.1412,95841.22
ID-00210,54,16,32,Urban,4,1,0.1389,133136.65
ID-00211,49,16,27,Urban,0,2,0.2511,125882.28
ID-00212,50,12,32,Suburban,4,1,0.1663,93253.66
ID-00213,18,20,0,Urban,3,5,0.1619,100247.22
ID-00214,36,12,18,Suburban,1,4,0.0732,82172.43
ID-00215,19,16,0,Urban,3,4,0.0823,81110.81
ID-00216,61,18,37,Urban,4,4,0.2236,151230.0
ID-00217,43,18,19,Urban,2,2,0.2472,118647.81
ID-00218,49,12,31,Urban,5,2,0.1647,106413.56
ID-00219,23,16,1,Suburban,5,2,0.2546,65712.26
ID-00220,49,18,25,Urban,3,4,0.2633,131891.25
ID-00221,21,14,1,Rural,1,4,0.2153,52825.41
ID-00222,28,16,6,Suburban,4,4,0.2322,71183.1
ID-00223,34,14,14,Urban,3,5,0.2497,95600.5
ID-00224,55,16,33,Urban,4,5,0.179,146436.05
ID-00225,41,18,17,Suburban,4,4,0.1674,94296.99
ID-00226,22,16,0,Urban,0,2,0.2068,84866.07
ID-00227,51,16,29,Rural,5,2,0.1388,80175.67
ID-00228,23,16,1,Suburban,5,5,0.1896,60144.53
ID-00229,39,16,17,Urban,2,5,0.212,112760.5
ID-00230,28,12,10,Suburban,0,4,0.213,75263.98
ID-00231,33,14,13,Urban,5,4,0.2117,92891.36
ID-00232,50,16,28,Urban,4,2,0.1356,115538.94
ID-00233,26,16,4,Rural,1,3,0.0907,48513.64
ID-00234,23,16,1,Urban,1,2,0.1763,88808.01
ID-00235,33,14,13,Suburban,0,2,0.3053,80328.72
ID-00236,46,14,26,Rural,1,4,0.1479,83195.76
ID-00237,20,14,0,Urban,4,3,0.1539,73398.3
ID-00238,37,20,11,Urban,3,3,0.2019,108968.06
ID-00239,53,16,31,Urban,4,4,0.1761,132160.92
ID-00240,36,12,18,Urban,5,1,0.2188,82474.99
ID-00241,43,12,25,Urban,3,4,0.2285,113688.98
ID-00242,20,20,0,Rural,1,5,0.2471,68956.43
ID-00243,36,14,16,Rural,2,3,0.2135,71063.2
ID-00244,37,18,13,Suburban,2,4,0.1705,100453.36
ID-00245,49,12,31,Urban,4,2,0.2424,113418.27
ID-00246,24,20,0,Rural,4,2,0.172,58852.94
ID-00247,58,18,34,Suburban,1,2,0.1891,121270.69
ID-00248,50,16,28,Urban,2,4,0.1793,136658.09
ID-00249,57,12,39,Urban,2,1,0.1823,121288.81
ID-00250,56,14,36,Urban,4,5,0.2605,135703.4
ID-00251,35,16,13,Rural,5,2,0.2387,70264.82
ID-00252,57,16,35,Suburban,2,4,0.2211,119939.89
ID-00253,18,14,0,Suburban,4,1,0.1457,63165.7
ID-00254,28,12,10,Suburban,0,3,0.1874,63324.81
ID-00255,45,16,23,Suburban,2,3,0.1582,105836.42
ID-00256,42,16,20,Urban,3,5,0.1874,114238.93
ID-00257,40,14,20,Suburban,1,4,0.1144,81324.31
ID-00258,48,12,30,Rural,4,4,0.1923,75965.96
ID-00259,47,20,21,Urban,2,2,0.2406,126845.39
ID-00260,59,16,37,Rural,2,1,0.1824,93259.58
ID-00261,52,18,28,Urban,5,5,0.2535,128960.41
ID-00262,24,16,2,Urban,4,1,0.2047,79784.05
ID-00263,33,12,15,Suburban,3,5,0.2048,75125.47
ID-00264,43,14,23,Rural,2,4,0.1649,86099.61
ID-00265,19,14,0,Urban,0,4,0.1235,78388.99
ID-00266,18,18,0,Suburban,1,5,0.2182,78941.25
ID-00267,29,16,7,Urban,4,1,0.1202,87659.42
ID-00268,22,14,2,Suburban,2,3,0.1525,70837.61
ID-00269,54,20,28,Urban,5,3,0.2163,143786.46
ID-00270,49,14,29,Urban,5,2,0.3197,126125.56
ID-00271,26,20,0,Urban,1,2,0.2119,101991.48
ID-00272,58,20,32,Urban,4,1,0.1749,144234.0
ID-00273,52,12,34,Urban,4,4,0.2011,126767.84
ID-00274,36,14,16,Suburban,4,1,0.1743,84270.6
ID-00275,33,16,11,Urban,3,5,0.1994,106963.64
ID-00276,20,16,0,Urban,0,3,0.2199,85767.03
ID-00277,37,16,15,Urban,5,2,0.1561,96002.43
ID-00278,41,20,15,Urban,4,1,0.2007,117453.97
ID-00279,50,18,26,Urban,3,1,0.2488,129915.54
ID-00280,41,14,21,Urban,4,5,0.1311,110754.97
ID-00281,28,12,10,Urban,4,4,0.1711,88536.93
