Property_ID,Square_Footage,Num_Bedrooms,Age_of_House_Years,Sale_Price
1,2957,3,83.1,480641.28
2,2705,5,51.4,518336.37
3,2445,4,25.0,466287.02
4,2490,5,69.4,436826.77
5,1508,2,92.3,228206.78
6,3486,5,84.1,647932.82
7,2035,5,19.8,416446.92
8,2242,5,31.7,450875.76
9,1481,1,51.7,195270.5
10,1255,3,57.2,216837.81
11,2382,4,19.4,464764.07
12,2174,3,23.0,362335.95
13,1369,1,75.9,223378.49
14,849,1,73.0,115796.47
15,984,1,83.9,119617.01
16,2957,4,93.3,460694.71
17,1509,1,30.8,304877.58
18,1729,2,86.0,278917.85
19,3160,6,66.6,537958.15
20,1102,2,95.8,188061.86
21,1418,3,27.2,306677.53
22,1385,2,27.0,256643.58
23,3294,4,70.4,571735.86
24,3595,6,92.8,630145.88
25,2601,3,82.5,440468.83
26,2627,5,72.7,444043.03
27,1536,1,38.7,234938.97
28,3558,5,71.8,558956.93
29,2214,3,80.1,346624.49
30,2682,5,75.3,457841.87
31,1916,3,67.7,321094.23
32,1786,3,4.7,357949.41
33,3330,6,66.0,630047.52
34,2432,2,47.8,398047.0
35,3161,4,96.2,506005.11
36,2204,3,60.7,331585.01
37,1321,1,60.8,270191.11
38,1533,2,99.4,197527.9
39,2082,4,9.4,397141.61
40,1499,2,27.6,300137.75
41,1114,2,65.6,200768.46
42,2961,3,31.5,555010.76
43,1564,2,34.6,304908.33
44,2111,3,89.3,338206.3
45,2237,4,57.9,425303.78
46,1529,1,10.3,315153.45
47,3161,5,31.1,557777.02
48,1106,3,7.6,278891.06
49,2209,3,55.6,376303.08
50,2197,2,17.3,393101.6
51,1957,5,85.7,353554.12
52,962,2,57.7,168595.36
53,2697,5,5.9,513935.17
54,2595,3,30.1,484797.97
55,1460,4,61.6,241469.51
56,2566,4,33.5,441519.46
57,2300,3,51.3,415814.22
58,976,1,90.9,136828.53
59,1317,3,35.0,289334.94
60,2911,5,33.6,543728.48
61,2248,4,82.0,348276.84
62,1549,3,31.9,303420.34
63,1313,2,7.8,284077.03
64,1588,2,18.1,309575.4
65,1644,5,94.9,283989.13
66,1323,1,93.3,181938.07
67,607,1,22.5,124062.9
68,2912,5,55.4,484389.92
69,2777,6,13.7,508992.06
70,981,3,67.5,197926.31
71,2109,3,18.5,374739.08
72,1278,3,5.0,297106.73
73,1791,5,82.5,312781.57
74,1724,3,32.5,294739.25
75,1658,2,10.9,309819.62
76,3602,6,83.4,665947.06
77,1648,1,76.2,248817.93
78,1353,3,68.4,259395.99
79,1390,3,91.1,234820.2
80,2835,5,48.9,475981.96
81,678,1,12.8,192679.56
82,1390,3,6.1,292396.74
83,3157,3,31.8,510311.9
84,2195,2,8.7,389497.7
85,2154,3,53.6,370103.14
86,3706,6,1.4,713477.07
87,2197,4,44.4,387029.86
88,1433,2,17.8,346181.82
89,1774,5,36.8,338209.33
90,1092,2,67.5,205097.15
91,3005,6,35.1,513323.58
92,2460,5,34.1,463600.34
93,2900,4,99.1,474920.8
94,2970,5,71.9,485005.24
95,1669,5,51.4,371717.2
96,1244,2,57.9,231111.86
97,1959,3,62.0,331294.38
98,1302,2,2.5,283925.91
99,2132,3,8.0,393545.98
100,2906,4,64.9,525249.35
101,1865,3,36.4,370974.96
102,2120,5,5.5,447899.23
103,1925,3,29.8,375241.24
104,2642,3,13.0,443947.42
105,1466,1,91.6,248268.52
106,600,3,20.3,166282.02
107,2377,4,14.4,480680.85
108,2790,5,62.6,512152.55
109,2357,3,52.2,432039.91
110,1488,3,57.6,245931.33
111,1092,3,43.6,200911.66
112,2396,3,46.7,473233.32
113,2113,4,77.9,326662.64
114,1899,2,22.0,319815.97
115,3458,6,39.7,628058.76
116,1243,2,95.8,190948.46
117,3420,5,19.0,609300.69
118,2025,3,29.4,390650.08
119,600,1,19.2,162226.73
120,1857,3,2.0,371456.17
121,2768,2,27.0,466901.36
122,1708,3,4.6,346926.05
123,820,1,15.5,163191.17
124,1868,4,36.3,318729.51
125,1314,2,2.1,282965.41
126,2393,3,75.3,412859.37
127,2619,4,79.6,435354.7
128,1155,1,41.1,148709.94
129,1435,3,98.5,217183.85
130,2605,2,67.9,439073.54
131,1313,3,74.4,196496.05
132,1134,3,19.2,267113.07
133,1057,1,83.7,145419.59
134,2282,4,94.5,376226.91
135,2247,4,23.6,410997.7
136,1453,1,68.6,199643.29
137,2004,1,74.7,341700.88
138,3222,6,30.5,619282.44
139,1221,1,47.5,226267.31
140,600,2,9.8,184910.76
141,2364,4,17.3,463320.29
142,1912,2,6.2,385477.64
143,1432,4,56.0,263389.24
144,2522,5,62.5,487721.14
145,2671,1,91.6,424571.21
146,600,1,54.2,121137.26
147,1478,1,26.1,258651.23
148,3854,6,5.9,682753.89
149,2467,4,88.5,414970.2
150,2541,5,47.9,509964.23
151,2938,5,73.7,477693.31
152,2014,4,1.5,436379.93
153,2637,5,48.8,469712.91
154,2574,5,32.6,475389.75
155,2431,4,3.0,442837.02
156,1742,4,77.6,290433.85
157,2138,3,51.3,390837.42
158,1529,2,33.3,301973.77
159,2010,1,80.6,307932.57
160,1065,3,44.7,206475.8
161,1368,2,0.3,257331.23
162,1774,6,94.4,332088.15
163,1245,2,25.6,237171.52
164,1596,3,83.1,273233.49
165,1869,4,81.6,317005.83
166,2322,3,16.2,422918.47
167,2759,5,47.4,504903.8
168,1629,3,4.0,344938.89
169,3068,5,35.5,587433.9
170,2751,6,73.1,485746.98
171,2403,3,23.7,450121.81
172,2123,4,11.7,464170.32
173,2255,5,50.7,436982.02
174,2950,4,53.7,538647.36
175,2979,5,67.6,502268.0
176,3068,6,75.9,521460.09
177,2033,4,69.6,355300.88
178,2444,4,84.5,407643.53
179,3075,6,22.3,610188.1
180,1501,2,57.0,241326.56
181,1745,1,36.0,295726.67
182,2013,5,96.2,376851.64
183,2720,3,44.0,473166.23
184,2732,6,96.0,472752.46
185,1815,3,76.9,311687.19
186,793,3,71.8,128284.08
187,2197,2,49.2,341631.08
188,1265,3,44.3,209574.41
189,808,2,52.7,164243.19
190,989,2,29.4,227830.72
191,2261,5,90.5,410928.87
192,3089,5,79.4,553394.25
193,2031,2,80.1,356893.89
194,2169,4,43.3,404313.9
195,2946,5,7.1,559597.69
196,764,1,68.3,161852.93
197,2416,4,37.4,424921.53
198,1991,4,87.0,309552.26
199,2453,3,78.0,392050.94
200,1613,3,14.5,313930.17
201,1346,2,60.2,234970.91
202,2112,3,69.2,335172.39
203,3319,6,56.8,601642.32
204,2689,4,51.4,457998.82
205,1594,2,22.8,331576.05
206,927,2,23.6,170313.31
207,654,2,76.8,113172.53
